State,cbsasub,areaname,Rent50_0,Rent50_1,Rent50_2,Rent50_3,Rent50_4,state_alpha,pop2010
1,METRO11500M11500,"Anniston-Oxford-Jacksonville, AL MSA",473,505,676,860,951,AL,118572
1,METRO12220M12220,"Auburn-Opelika, AL MSA",553,597,799,1065,1333,AL,140247
1,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",666,790,914,1234,1360,AL,1017381
1,METRO13820N01021,"Chilton County, AL HUD Metro FMR Area",492,556,650,947,1135,AL,43643
1,METRO13820N01127,"Walker County, AL HUD Metro FMR Area",516,531,682,912,1054,AL,67023
1,METRO17980M17980,"Columbus, GA-AL MSA",648,718,848,1176,1481,AL,52947
1,METRO19300M19300,"Daphne-Fairhope-Foley, AL MSA",770,808,935,1363,1577,AL,182265
1,METRO19460M19460,"Decatur, AL MSA",462,548,666,910,993,AL,153829
1,METRO20020M20020,"Dothan, AL HUD Metro FMR Area",532,542,701,942,1104,AL,128337
1,METRO20020N01067,"Henry County, AL HUD Metro FMR Area",476,486,611,792,1067,AL,17302
1,METRO22520M22520,"Florence-Muscle Shoals, AL MSA",504,507,653,848,1028,AL,147137
1,METRO23460M23460,"Gadsden, AL MSA",432,530,685,850,985,AL,104430
1,METRO26620M26620,"Huntsville, AL MSA",564,643,782,1069,1304,AL,417593
1,METRO33660M33660,"Mobile, AL MSA",697,705,847,1111,1251,AL,412992
1,METRO33860M33860,"Montgomery, AL MSA",602,690,840,1097,1424,AL,374536
1,METRO46220M46220,"Tuscaloosa, AL HUD Metro FMR Area",608,706,858,1096,1176,AL,210416
1,METRO46220N01107,"Pickens County, AL HUD Metro FMR Area",417,439,588,731,806,AL,19746
1,NCNTY01005N01005,"Barbour County, AL",503,507,678,841,929,AL,27457
1,NCNTY01011N01011,"Bullock County, AL",451,454,569,829,985,AL,10914
1,NCNTY01013N01013,"Butler County, AL",427,430,576,810,841,AL,20947
1,NCNTY01017N01017,"Chambers County, AL",467,599,731,907,1002,AL,34215
1,NCNTY01019N01019,"Cherokee County, AL",485,489,654,910,1142,AL,25989
1,NCNTY01023N01023,"Choctaw County, AL",526,530,709,880,1035,AL,13859
1,NCNTY01025N01025,"Clarke County, AL",468,492,569,800,922,AL,25833
1,NCNTY01027N01027,"Clay County, AL",439,460,569,806,831,AL,13932
1,NCNTY01029N01029,"Cleburne County, AL",498,501,671,833,920,AL,14972
1,NCNTY01031N01031,"Coffee County, AL",505,508,640,931,1062,AL,49948
1,NCNTY01035N01035,"Conecuh County, AL",422,425,569,829,831,AL,13228
1,NCNTY01037N01037,"Coosa County, AL",464,467,605,815,829,AL,11539
1,NCNTY01039N01039,"Covington County, AL",460,463,620,826,1082,AL,37765
1,NCNTY01041N01041,"Crenshaw County, AL",422,425,569,759,930,AL,13906
1,NCNTY01043N01043,"Cullman County, AL",476,520,652,819,894,AL,80406
1,NCNTY01045N01045,"Dale County, AL",398,478,618,888,1079,AL,50251
1,NCNTY01047N01047,"Dallas County, AL",409,453,569,747,981,AL,43820
1,NCNTY01049N01049,"DeKalb County, AL",464,473,617,766,846,AL,71109
1,NCNTY01053N01053,"Escambia County, AL",482,506,586,767,874,AL,38319
1,NCNTY01057N01057,"Fayette County, AL",461,490,569,807,831,AL,17241
1,NCNTY01059N01059,"Franklin County, AL",453,456,573,711,836,AL,31704
1,NCNTY01063N01063,"Greene County, AL",451,454,569,829,831,AL,9045
1,NCNTY01071N01071,"Jackson County, AL",491,497,606,752,941,AL,53227
1,NCNTY01075N01075,"Lamar County, AL",461,472,569,706,831,AL,14564
1,NCNTY01087N01087,"Macon County, AL",443,446,597,870,984,AL,21452
1,NCNTY01091N01091,"Marengo County, AL",422,425,569,774,831,AL,21027
1,NCNTY01093N01093,"Marion County, AL",422,425,569,716,780,AL,30776
1,NCNTY01095N01095,"Marshall County, AL",460,463,620,847,850,AL,93019
1,NCNTY01099N01099,"Monroe County, AL",448,451,569,829,993,AL,23068
1,NCNTY01105N01105,"Perry County, AL",468,492,569,763,831,AL,10591
1,NCNTY01109N01109,"Pike County, AL",517,542,628,902,917,AL,32899
1,NCNTY01111N01111,"Randolph County, AL",469,473,615,818,853,AL,22913
1,NCNTY01119N01119,"Sumter County, AL",578,583,714,886,979,AL,13763
1,NCNTY01121N01121,"Talladega County, AL",460,463,620,868,887,AL,82291
1,NCNTY01123N01123,"Tallapoosa County, AL",482,489,595,863,957,AL,41616
1,NCNTY01129N01129,"Washington County, AL",505,508,678,963,990,AL,17581
1,NCNTY01131N01131,"Wilcox County, AL",451,454,569,808,831,AL,11670
1,NCNTY01133N01133,"Winston County, AL",435,438,569,791,993,AL,24484
2,METRO11260M11260,"Anchorage, AK HUD Metro FMR Area",940,1089,1378,2008,2406,AK,291826
2,METRO11260N02170,"Matanuska-Susitna Borough, AK HUD Metro FMR Area",655,793,1062,1548,1854,AK,88995
2,METRO21820M21820,"Fairbanks, AK MSA",805,975,1305,1902,2115,AK,97581
2,NCNTY02013N02013,"Aleutians East Borough, AK",713,852,986,1237,1352,AK,3141
2,NCNTY02016N02016,"Aleutians West Census Area, AK",986,1226,1598,1983,2465,AK,5561
2,NCNTY02050N02050,"Bethel Census Area, AK",1140,1313,1530,1899,2097,AK,17013
2,NCNTY02060N02060,"Bristol Bay Borough, AK",913,944,1263,1600,1948,AK,997
2,NCNTY02068N02068,"Denali Borough, AK",934,1020,1292,1658,1993,AK,1826
2,NCNTY02070N02070,"Dillingham Census Area, AK",840,985,1161,1441,1791,AK,4847
2,NCNTY02100N02100,"Haines Borough, AK",670,801,927,1190,1430,AK,2508
2,NCNTY02105N02105,"Hoonah-Angoon Census Area, AK",505,647,819,1096,1123,AK,2150
2,NCNTY02110N02110,"Juneau City and Borough, AK",874,1055,1412,2001,2178,AK,31275
2,NCNTY02122N02122,"Kenai Peninsula Borough, AK",832,837,1052,1340,1768,AK,55400
2,NCNTY02130N02130,"Ketchikan Gateway Borough, AK",778,1003,1261,1751,2084,AK,13477
2,NCNTY02150N02150,"Kodiak Island Borough, AK",801,893,1033,1505,1680,AK,13592
2,NCNTY02164N02164,"Lake and Peninsula Borough, AK",665,795,920,1159,1419,AK,1631
2,NCNTY02180N02180,"Nome Census Area, AK",954,1221,1547,1920,2120,AK,9492
2,NCNTY02185N02185,"North Slope Borough, AK",756,878,1016,1298,1774,AK,9430
2,NCNTY02188N02188,"Northwest Arctic Borough, AK",1093,1147,1327,1647,1819,AK,7523
2,NCNTY02195N02195,"Petersburg Census Area, AK",657,796,1066,1323,1461,AK,3815
2,NCNTY02198N02198,"Prince of Wales-Hyder Census Area, AK",801,806,981,1217,1345,AK,5559
2,NCNTY02220N02220,"Sitka City and Borough, AK",870,950,1272,1751,1962,AK,8881
2,NCNTY02230N02230,"Skagway Municipality, AK",946,999,1308,1679,2017,AK,968
2,NCNTY02240N02240,"Southeast Fairbanks Census Area, AK",910,1087,1258,1818,2196,AK,7029
2,NCNTY02261N02261,"Valdez-Cordova Census Area, AK",918,924,1237,1535,1908,AK,9636
2,NCNTY02270N02270,"Wade Hampton Census Area, AK",679,741,939,1165,1287,AK,7459
2,NCNTY02275N02275,"Wrangell City and Borough, AK",638,659,882,1285,1360,AK,2369
2,NCNTY02282N02282,"Yakutat City and Borough, AK",764,835,1057,1326,1630,AK,662
2,NCNTY02290N02290,"Yukon-Koyukuk Census Area, AK",617,621,811,1006,1251,AK,5588
4,METRO22380M22380,"Flagstaff, AZ MSA",815,974,1216,1509,1807,AZ,134421
4,METRO29420M29420,"Lake Havasu City-Kingman, AZ MSA",531,623,793,1137,1244,AZ,200186
4,METRO38060M38060,"Phoenix-Mesa-Scottsdale, AZ MSA",635,783,974,1419,1661,AZ,4192887
4,METRO39140M39140,"Prescott, AZ MSA",706,711,897,1307,1369,AZ,211033
4,METRO43420M43420,"Sierra Vista-Douglas, AZ MSA",703,727,902,1256,1575,AZ,131346
4,METRO46060M46060,"Tucson, AZ MSA",565,684,916,1335,1573,AZ,980263
4,METRO49740M49740,"Yuma, AZ MSA",644,648,868,1265,1505,AZ,195751
4,NCNTY04001N04001,"Apache County, AZ",582,739,913,1277,1563,AZ,71518
4,NCNTY04007N04007,"Gila County, AZ",680,684,880,1202,1206,AZ,53597
4,NCNTY04009N04009,"Graham County, AZ",496,690,804,1159,1163,AZ,37220
