AQC00914000        2116R  2022S  1840S  1780R  1820R  1306R  1274R  1383R  1570S  2003S  2036R  2242R
AQW00061705        1448C  1266C  1166C  1102C  1062C   586C   647C   630C   763C  1011C  1130C  1452C
CAW00064757         160Q   205Q   200Q   286Q   359Q   310Q   366Q   238Q   229Q   209Q   338Q   272Q
CQC00914080         384P   442R   240R   503R   380R   504R  1016R  1242R  1165P  1099R   776R   588P
CQC00914801         524R   521R   305R   466R   401R   520R  1071R  1312R  1386R  1226R   838R   554R
CQC00914855         356R   260R   193R   232R   277R   450R   827R  1215R  1021R  1132R   592R   421P
CQC00914874         411R   330R   240R   271R   336R   505R  1043R  1245R  1246R  1120R   697R   424P
FMC00914213         726R   587R   645R   487R   841R  1258R  1497R  1369R  1241R  1039R   918R   986R
FMC00914325        1021P  1027P  1153P  1212P  1163P  1317P  1316P  1051P   928P   810P   968P   874P
FMC00914395        1814P  1360P  1578P  1952P  1848P  1558P  1603P  1481P  1550P  1152P  1553P  1885P
FMC00914419         920R   981R  1065R  1186R  1278R  1197R  1646R  1418P  1040R  1125R  1022R  1122R
FMC00914429         767R   632R   567R   587R   835R  1328R  1539R  1479R  1418R  1167R   966R   934R
FMC00914446         594R   596R   482R   537R   786R  1050R  1360R  1531R  1344R  1083R   893R   859R
FMC00914482        1088R   862R  1107R  1714R  1573R  1377R  1399R  1312R  1250R  1347R  1419R  1457R
FMC00914585         725R   592R   511R   561R   817R   960R  1395R  1385R  1272R  1132R   884R   996R
FMC00914590        1486R  1330R  1560R  1543R  1461R  1286R  1456R  1278R  1102R  1031R  1057R  1070R
FMC00914705        1581R  1192R  1513R  2029R  1980R  1973R  1850R  2277R  2024R  2007R  1608R  1382R
FMC00914720        1271R  1042R  1250R  1236R  1324R  1296R  1310R  1309R  1424R  1239R  1308R  1292R
FMC00914761         767R   539R   573R   879R  1016R  1081R  1050R   936R   883R   938R   745R   657R
FMC00914808         658R   583R   521R   536R   711R  1043R  1578R  1625R  1298R  1022R   860R   925R
FMC00914831         638R   540R   502R   543R   793R  1292R  1462R  1476R  1265R  1111R   869R   900R
FMC00914892         557R   480R   465R   468R   610R  1025R  1185R  1561R  1170R  1028R   891R   712R
FMC00914898        1727P  1280P  1579P  2045P  1791P  1645P  1486P  1411P  1505P  1281P  1476P  1746P
FMC00914911         752P   612P   820P   843P  1090P  1248P  1258P  1494P  1093P  1004P   856P   951P
FMW00040308         730C   599C   534C   572C   850C  1320C  1504C  1546C  1376C  1225C   909C   928C
FMW00040504        1321C  1002C  1413C  1775S  1835C  1577C  1609C  1482C  1490C  1527C  1500C  1591C
FMW00040505        1014C   726C   881C  1222C  1173C  1221C  1239S  1348S  1285C  1140C  1103C  1102C
GQC00914001         390R   358R   259P   324R   457R   712P  1220R  1760R  1192P  1140P   867P   671P
GQC00914025         497R   512R   244R   385R   401R   719R  1089R  1474P  1216P  1102R   922R   625P
GQC00914156         505P   427S   293S   392R   466R   773R  1279R  1576R  1321R  1056R   950R   628P
GQC00914468         477S   383P   263S   307R   419R   677S  1156P  1541P  1210P  1101P   914R   566P
GQC00914950         495P   381P   353R   288R   358R   464P   874P  1204P   876P   789P   716R   461P
GQW00041415         496S   453S   277S   358S   430C   709S  1214S  1715S  1417S  1180S   917S   598S
JQW00021603         191P   132P   214P   184P   101P    90P   133P   203P   271P   366P   488P   274P
MQW00022701         471P   380P   268P   334P   215P   151P   281P   422P   445P   358P   272P   314P
PSC00914519        1039R   900R   890R   848R  1266R  1780R  1672R  1317R  1248R  1242R  1163R  1175R
PSW00040309        1109C   954C   827C   819C  1252C  1801C  1812C  1392C  1209C  1206C  1190C  1193C
RMC00913915         630R   492R   610R   732R  1078R  1092R  1153R  1065R  1066R  1097R  1352R   928R
RMC00914304         972R   622R  1019R  1184R  1085R  1037R  1262R  1136R  1125R  1111R  1037R  1040R
RMC00914487         849R   908R   749R  1045R   992R  1014R  1338R   990R  1047R   929R   961R  1130R
RMC00914903         242R   156R   203R   351R   492R   561R   431R   526R   774R   870R   772R   470R
RMW00040604         401C   330C   356C   621S   661C   786C   985C  1040C  1089C  1183C  1107C   813S
RMW00040710         828C   762C   755C   963C   986C  1093C  1193C  1142C  1214C  1327C  1323C  1156C
RQC00660040         260S   260S   300C   684C   826S   550S   449C   764S  1178S  1357S   693S   324S
RQC00660053         327S   208S   320S   587R   933S   530S   598R   916R  1429S  1009S   623S   284S
RQC00660061         250S   253S   376S   723S   953C   496S   598C   836C  1250C  1140C   669S   317S
RQC00660152         148S   110S   115S   137C   443S   344S   364S   398S   632S   628S   465S   188S
RQC00660158         297R   309R   302R   438R   592R   304R   364R   450R   928R   795R   816R   428R
RQC00660426         408S   355S   426S   758S  1158S   651S   667S   833S   936S  1009S   727S   485S
