AQW00061705          44C    48C    53C    29C    10C     1C     2C     1C     4C     7C    21C    33C
CAW00064757           0Q     0Q     0Q     0Q     0Q     7Q    12Q     4Q     0Q     0Q     0Q     0Q
CQC00914080           0R     0R     0P     0R     0R     0R     0R     0R     0R     0R     0R     0R
CQC00914801           0R     0R     0R     0R     0R     5R     9R     4R     9R     2R     1R     0R
FMC00914395          23P    20P    25P    32P    36P    36P    44P    79P    81P    82P    63P    27P
FMC00914419          16P    14P    29P    44P    44P    43P    47P    53P    67P    56P    79P    32P
FMC00914446           0P     1P    15P    62P    90P    50P    16P    13P    17P    13P    30P     3P
FMC00914482           1R     2R     4R     3R    15R    19R    22R    34R    48R    30R    30R     8R
FMC00914720          78R   131R   130R   150R   155R   141R   132R   125R   127R   137R   135R   115R
FMC00914761         104P   101P   139P   139P   178P   154P   175P   156P   146P   182P   180P   156P
FMC00914831           0P     0P     0P     3P    10P    10P     3P     2P     9P    17P     5P     2P
FMC00914892          12P    16P    12P    34P    45P    36P    22P    42P    56P    94P    72P    17P
FMC00914898          32P    42P    48P    29P    46P    27P    62P    54P    58P    75P    68P    34P
FMC00914911          38P    42P    49P    55P    67P    59P    82P    76P    78P    82P   100P    55P
FMW00040308           2S     1S     9S    34S    61S    37S    22S    19S    28S    36S    21S     5S
FMW00040504           7C     7C    22C    27C    51C    48C    81C   130C   138C   135C   100C    33C
FMW00040505           1S     3S     4S     3S     6S     4S     6S     5S     7S     4S     4S     1S
GQC00914025           0P     0P     0P     1P     7P     6P     2P     4P     3P     2P     0P     1P
GQW00041415           0C     0C -7777C     9C    25C    38C    12C     6C     5S     6S     3C     0C
JQW00021603           0P     0P     0P     1P     3P    34P    62P    96P    69P    36P     3P     0P
PSC00914519          17P    11P    24P    61P    62P    16P     9P     9P    28P    18P    46P    30P
PSC00914712           0P     0P     0P     0P     0P     0P     0P     0P     0P     2P     1P     0P
PSW00040309           6S     6S     8S    27S    27S    12S     4S     6S     5S    16S    32S    17S
RMW00040604           0C     0S     0S     0S     1S -7777S -7777S     1S     3S     2C     3C     0S
RMW00040710           1C     2C -7777C     0C     0C -7777C     1S     2S     4S     4S     5S     3C
